Output,Output Tone/NAC,Channel Name,Mode,Comments
171.33750,$293,USCG NET 132,P25,USCG NET 132
171.35000,$293,USCG NET 133,P25,USCG NET 133
171.36250,$293,USCG NET 134,P25,USCG NET 134
172.03750,$293,USCG NET 150,P25,USCG NET 150
165.46250,$293,USCG NET 151,P25,USCG NET 151
410.37500,$293,USCG NET 401,P25,USCG NET 401
411.78750,$293,USCG NET 402,P25,USCG NET 402
412.92500,$293,USCG NET 407,P25,USCG NET 407
412.95000,$293,USCG NET 408,P25,USCG NET 408
412.97500,$293,USCG NET 409,P25,USCG NET 409
413.00000,$293,USCG NET 410,P25,USCG NET 410
413.02500,$293,USCG NET 411,P25,USCG NET 411
406.81250,$293,USCG NET 414,P25,USCG NET 414
416.22500,$293,USCG NET 421,P25,USCG NET 421
416.55000,$293,USCG NET 422,P25,USCG NET 422
417.00000,$293,USCG NET 423,P25,USCG NET 423
406.50000,$293,USCG NET UNK,P25,USCG NET UNK
406.56250,$293,USCG NET UNK,P25,USCG NET UNK
406.57500,$293,USCG NET UNK,P25,USCG NET UNK
406.60000,$293,USCG NET UNK,P25,USCG NET UNK
406.80000,$293,USCG NET UNK,P25,USCG NET UNK
406.97500,$293,USCG NET UNK,P25,USCG NET UNK
407.62500,$293,USCG NET UNK,P25,USCG NET UNK
407.92500,$293,USCG NET UNK,P25,USCG NET UNK
407.97500,$293,USCG NET UNK,P25,USCG NET UNK
408.40000,$293,USCG NET UNK,P25,USCG NET UNK
409.00000,$293,USCG NET UNK,P25,USCG NET UNK
409.18750,$293,USCG NET UNK,P25,USCG NET UNK
409.20000,$293,USCG NET UNK,P25,USCG NET UNK
409.35000,$293,USCG NET UNK,P25,USCG NET UNK
409.82500,$293,USCG NET UNK,P25,USCG NET UNK
410.02500,$293,USCG NET UNK,P25,USCG NET UNK
411.37500,$293,USCG NET UNK,P25,USCG NET UNK
413.03750,$293,USCG NET UNK,P25,USCG NET UNK
414.76250,$293,USCG NET UNK,P25,USCG NET UNK
415.62500,$293,USCG NET UNK,P25,USCG NET UNK
415.77500,$293,USCG NET UNK,P25,USCG NET UNK
415.82500,$293,USCG NET UNK,P25,USCG NET UNK
415.92500,$293,USCG NET UNK,P25,USCG NET UNK
416.38750,$293,USCG NET UNK,P25,USCG NET UNK
416.47500,$293,USCG NET UNK,P25,USCG NET UNK
416.57500,$293,USCG NET UNK,P25,USCG NET UNK
416.58750,$293,USCG NET UNK,P25,USCG NET UNK
416.60000,$293,USCG NET UNK,P25,USCG NET UNK
416.63750,$293,USCG NET UNK,P25,USCG NET UNK
416.70000,$293,USCG NET UNK,P25,USCG NET UNK
416.71250,$293,USCG NET UNK,P25,USCG NET UNK
416.85000,$293,USCG NET UNK,P25,USCG NET UNK
416.92500,$293,USCG NET UNK,P25,USCG NET UNK
416.93750,$293,USCG NET UNK,P25,USCG NET UNK
418.35000,$293,USCG NET UNK,P25,USCG NET UNK
418.43750,$293,USCG NET UNK,P25,USCG NET UNK
418.45000,$293,USCG NET UNK,P25,USCG NET UNK
419.12500,$293,USCG NET UNK,P25,USCG NET UNK
419.60000,$293,USCG NET UNK,P25,USCG NET UNK
419.65000,$293,USCG NET UNK,P25,USCG NET UNK
419.80000,$293,USCG NET UNK,P25,USCG NET UNK
419.82500,$293,USCG NET UNK,P25,USCG NET UNK
419.85000,$293,USCG NET UNK,P25,USCG NET UNK
419.97500,$293,USCG NET UNK,P25,USCG NET UNK
163.10000,$167,USCS AllCall,P25,Customs Charlotte Federal All-Call
165.23750,100.0,USCS Net 1,FMN,Customs Charlotte Net 1
165.43750,100.0,USCS Net 14,FMN,Customs Charlotte Net 14
